Test type,World type,Mean time,Mean low, Mean max
SR,2,3.67751 us,3.59364 us,3.80351 us
SR,4,7.83747 us,7.71134 us,8.05124 us
SR,8,11.7448 us,11.41 us,12.3416 us
SR,16,19.3002 us,19.046 us,19.6349 us
SR,32,38.8492 us,37.925 us,40.3185 us
SR,64,73.5392 us,73.0178 us,74.448 us
SR,128,140.62 us,139.8 us,141.907 us
SR,256,365.526 us,339.497 us,399.9 us
SR,512,629.61 us,595.29 us,687.944 us
SR,1024,1.1178 ms,1.11002 ms,1.12742 ms
SR,2048,2.17559 ms,2.16853 ms,2.18369 ms
SR,4096,4.36796 ms,4.35885 ms,4.37843 ms
SR,8192,9.68947 ms,9.36008 ms,10.3548 ms
SR,16384,17.8764 ms,17.7317 ms,18.1517 ms
SR,32768,36.4917 ms,35.9287 ms,37.4231 ms
SR,65536,71.954 ms,71.306 ms,72.9536 ms
SR,131072,145.203 ms,143.822 ms,147.137 ms
DR,2,4.14136 us,4.10147 us,4.216 us
DR,4,8.53806 us,8.13538 us,9.48884 us
DR,8,15.8698 us,15.6958 us,16.1551 us
DR,16,29.5493 us,29.1742 us,30.2455 us
DR,32,70.4945 us,69.6073 us,71.8266 us
DR,64,126.822 us,125.503 us,128.851 us
DR,128,263.112 us,261.151 us,265.573 us
DR,256,487.539 us,484.959 us,490.51 us
DR,512,966.104 us,963.659 us,968.858 us
DR,1024,1.90999 ms,1.90457 ms,1.91562 ms
DR,2048,3.83085 ms,3.82042 ms,3.84436 ms
DR,4096,7.5935 ms,7.58148 ms,7.60482 ms
DR,8192,15.3026 ms,15.2397 ms,15.4154 ms
DR,16384,30.7047 ms,30.4182 ms,31.3526 ms
DR,32768,61.8145 ms,61.2917 ms,62.619 ms
DR,65536,126.185 ms,124.975 ms,127.71 ms
DR,131072,251.764 ms,249.381 ms,255.32 ms
DC,2,4.20546 us,4.14828 us,4.32874 us
DC,4,7.88453 us,7.78971 us,8.05325 us
DC,8,15.0137 us,14.8501 us,15.3185 us
DC,16,29.3669 us,29.0284 us,29.9006 us
DC,32,59.2007 us,58.6514 us,60.0904 us
DC,64,126.806 us,125.302 us,128.616 us
DC,128,242.947 us,241.304 us,245.203 us
DC,256,479.518 us,477.027 us,482.303 us
DC,512,972.197 us,967.791 us,983.173 us
DC,1024,1.90109 ms,1.89512 ms,1.9072 ms
DC,2048,4.54836 ms,4.36106 ms,4.98991 ms
DC,4096,7.62045 ms,7.58498 ms,7.75073 ms
DC,8192,16.0103 ms,15.738 ms,16.4926 ms
DC,16384,31.7375 ms,31.2094 ms,32.8675 ms
DC,32768,60.8433 ms,60.5616 ms,61.26 ms
DC,65536,121.935 ms,121.481 ms,122.624 ms
DC,131072,245.347 ms,244.142 ms,246.983 ms
SC,2,3.3044 us,3.20962 us,3.45023 us
SC,4,12.9771 us,11.7777 us,14.3328 us
SC,8,10.3465 us,10.1788 us,10.5771 us
SC,16,46.4842 us,43.2288 us,49.3653 us
SC,32,72.4404 us,65.5896 us,79.7196 us
SC,64,135.4 us,127.203 us,145.075 us
SC,128,161.48 us,153.558 us,174.389 us
SC,256,352.628 us,323.621 us,390.84 us
SC,512,562.702 us,560.183 us,565.453 us
SC,1024,1.17098 ms,1.11988 ms,1.26836 ms
SC,2048,2.24404 ms,2.23152 ms,2.28672 ms
SC,4096,4.44619 ms,4.42805 ms,4.46845 ms
SC,8192,9.17486 ms,9.07318 ms,9.3055 ms
SC,16384,17.9849 ms,17.8142 ms,18.4229 ms
SC,32768,35.9943 ms,35.6912 ms,36.5425 ms
SC,65536,71.584 ms,71.2655 ms,72.1298 ms
SC,131072,146.372 ms,144.953 ms,148.565 ms
